city,location,price,bedrooms,baths,size,title,page_url,date_added,property_type,latitude,longitude,number_of_photos,province,agency,purpose
Multan,"Royal Orchard, Multan Public School Road",16000000,5,6,1350,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/multan_public_school_road_royal_orchard_6_marla_duble_story_beautiful_luxurious_house_for_sale_in_royale_orchard-46462001-9492-1.html,Added: 3 weeks ago,Houses_Property,30.25617,71.560725,21,Punjab,Property Business Center,Buy
Multan,"Buch Executive Villas, Multan",22000000,5,6,1688,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/multan_buch_executive_villas_7_5_marla_double_storey_beautiful_luxurious_house_for_sale_in_buch_villas-46329066-8627-1.html,Added: 3 weeks ago,Houses_Property,30.286812,71.489983,10,Punjab,Property Business Center,Buy
Multan,"Buch Executive Villas, Multan",19000000,5,6,1372,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/multan_buch_executive_villas_8_75_marla_double_storey_beautiful_luxurious_house_for_sale_in_buch_villas-46334341-8627-1.html,Added: 3 weeks ago,Houses_Property,30.286812,71.489983,44,Punjab,Property Business Center,Buy
Multan,"Buch Executive Villas, Multan",35000000,5,6,2475,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/multan_buch_executive_villas_11_marla_duble_storey_beautiful_luxurious_house_for_sale_in_buch_villas-46327962-8627-1.html,Added: 1 month ago,Houses_Property,30.286812,71.489983,19,Punjab,Property Business Center,Buy
Multan,"Buch Executive Villas, Multan",35000000,5,6,2250,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/multan_buch_executive_villas_10_marla_double_storey_beautiful_luxurious_house_for_sale_in_buch_villas-46327870-8627-1.html,Added: 1 month ago,Houses_Property,30.286812,71.489983,23,Punjab,Property Business Center,Buy
Multan,"Buch Executive Villas - Phase 1, Buch Executive Villas",15500000,3,4,1125,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_1_buch_villaz_phase_1_near_under_pass_sector_f_5_marla_house_fore_sale-47052144-19719-1.html,Added: 3 hours ago,Houses_Property,30.281976,71.494241,6,Punjab,The Professionals Real Estate  Consultant,Buy
Multan,"Royal Orchard - Block F, Royal Orchard",30000000,5,5,2250,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_f_10_marla_modern_house_for_sale_in_royal_orchard_block_f-47650469-9499-1.html,Added: 7 hours ago,Houses_Property,30.258049,71.560429,6,Punjab,Three Star Property Advisors,Buy
Multan,"Royal Orchard, Multan Public School Road",32500000,0,0,2250,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_public_school_road_royal_orchard_corner_10_marla_house_situated_in_royal_orchard_for_sale-47453880-9492-1.html,Added: 2 weeks ago,Houses_Property,30.25617,71.560725,44,Punjab,Hamza Builders & Real Estate,Buy
Multan,"DHA Villas, DHA Defence",13100000,3,4,1350,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/dha_defence_dha_villas_near_bilal_masjid_good_location_category_villa_available_on_investor_price-42717505-14018-1.html,Added: 2 weeks ago,Houses_Property,30.289476,71.522677,10,Punjab,Jinnah Associates,Buy
Multan,"Buch Executive Villas, Multan",30800000,5,6,2475,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_buch_executive_villas_11_marla_park_facing_spanish_house_for_sale_buch_villas-45512300-8627-1.html,Added: 3 weeks ago,Houses_Property,30.286812,71.489983,44,Punjab,ASKARI PROPERTY ADVISOR,Buy
